1,1,1,1.00,7999.99
2,2,2,1.00,1999.99
3,3,3,1.00,799.99
4,4,4,1.00,899.99
5,5,5,1.00,12999.99
6,6,6,1.00,7500.00
7,7,7,1.00,700.00
8,8,8,1.00,7899.00
9,9,9,1.00,800.00
10,10,10,1.00,1299.99
11,11,11,1.00,780.00
12,12,12,1.00,7899.89
13,13,13,1.00,17899.99
14,14,14,1.00,446.99
15,15,15,1.00,789.00
16,16,16,1.00,3600.00
17,17,17,1.00,400.00
18,18,18,1.00,1200.00
19,19,19,1.00,6544.00
20,20,20,1.00,799.00
21,21,21,1.00,645.00
22,22,22,1.00,8999.00
23,23,23,1.00,22500.00
24,24,24,1.00,11500.00
25,25,25,1.00,446.99
26,26,26,1.00,250.00
27,27,27,1.00,899.99
28,28,28,1.00,1399.00
29,29,29,1.00,6700.00
30,30,30,1.00,12499.00
